Transformed Depth,WDR Depth,Rain,Max Wind,Average WInd,Wind Dir
0.2810333672,1.91,7.1,1.5,0.2551890976,1.842317068
0.2810333672,1.91,12,2,0.6164787519,1.518665625
0.2810333672,1.91,11.4,1.3,0.7189914277,1.525993637
0.2455126678,1.76,6.1,0.4,0.2579855087,1.411148422
0.2455126678,1.76,6.4,1.6,0.6475374661,1.811654031
0.2455126678,1.76,10.4,2,0.3724373547,1.687567106
0.206825876,1.61,6.1,1.6,0.5312040526,1.82848548
0.206825876,1.61,8.6,2,0.1185646607,1.45508974
0.06445798923,1.16,9.7,1,0.3518036902,1.252612775
0.06445798923,1.16,1.5,0.4,0.2148819033,1.582511235
0.004321373783,1.01,4.6,0.3,0.1,1.49558936
0.004321373783,1.01,7.4,1.4,0.5043876059,1.559086428
-0.06550154876,0.86,8.1,0.8,0.3763921552,1.668028609
-0.06550154876,0.86,0.6,1,0.5611732156,3.113664217
-0.1487416513,0.71,0.5,0.1,0.03333333333,1.903552628
-0.1487416513,0.71,0.5,0.4,0.1224963684,3.88773142
-0.1487416513,0.71,0.3,0.7,0.1590212976,1.59776457
-0.1487416513,0.71,6.7,0.4,0.1038746996,2.097469746
-0.251811973,0.56,0.5,0.3,0.09999999999,1.93807017
-0.251811973,0.56,0.6,0.3,0.09999999999,1.93807017
-0.251811973,0.56,0.5,0.3,0.1267233434,1.8608467
-0.251811973,0.56,1.2,1.1,0.3666666667,3.424808105
-0.251811973,0.56,3.3,1.1,0.3666666667,3.424808105
-0.251811973,0.56,4.3,1.1,0.3334251322,3.417737777
-0.251811973,0.56,1.6,0.4,0.1543477546,2.543460675
-0.251811973,0.56,4.8,0.8,0.2846737243,1.723169181
-0.251811973,0.56,0.5,0.7,0.1253937419,2.143198358
-0.251811973,0.56,0.2,1,0.3972261326,3.758488048
-0.3872161433,0.41,2.8,0.8,0.3999860716,2.374650099
-0.3872161433,0.41,0.8,1.1,0.3907385594,1.915521745
