WDR Depth,"Changes in amount of rain
*10 mins after start taken as present",Max Wind Speed * Changes in rain,Average Wind Speed * Changes in rain,Wind Direction
1.76,1.885714286,10.56,3.583014877,0.734600147
0.71,1.697142857,0.3394285714,0.151387608,0.81546227
0.86,1.697142857,1.697142857,0.6291198802,0.454085589
0.335,6.642857143,3.321428571,1.402929536,2.455731439
0.48,6.642857143,0.6642857143,0.2214285714,3.805328942
0.71,0.2,0.04,0.01929354047,2.682075141
1.01,3.3,1.98,0.3760190435,2.95732782
0.71,0.3,0.66,0.06830995059,5.350730802
0,4.6,1.38,0.3084244709,1.795990674
2.96,11.4,22.8,7.027857771,5.518665625
0.26,0.2,0.02,0.006666666666,4.788514249
0,0.5,0.15,0.03227040088,1.733725443
0.17,0.2,0,0,-1
0,0.3,0,0,-1
0,0.2,0,0,-1
0.41,0.3,0,0,-1
2.21,8.1,0,0,-1
0.17,0.6,0,0,-1
2.06,2.8,0,0,-1
2.96,6.4,9.6,1.633210225,0.142317068
0.26,0.3,0.15,0.03999999999,1.787626092
0.41,0.5,0,0,-1
0,0.2,0,0,-1
0,0.5,0,0,-1
0,0.3,0.75,0.1998700017,2.18050065
0,0.2,0,0,-1
0,0.7,0.07,0.035,1.787626092
0.56,2.5,0,0,-1
0.26,2.1,0,0,-1
0.41,0.5,0,0,-1
0,0.5,0,0,-1
0.26,0.8,0,0,-1
0,4.6,0,0,-1
0,0.2,0,0,-1
0,1.8,0,0,-1
