WDR Depth,Binary ,"Changes in amount of rain
*10 mins after start taken as present","Change in Feels Like (From indoor station)
TAKEN 5 mins before and 5 mins after","WIND DIRECTION
*In radians",WIND SPEED MAX
1.76,1,1.885714286,5.3,2.623085729,5.6
0.71,1,1.697142857,0.2,3.81546227,0.2
0.86,1,1.697142857,0.3,3.454085589,1
0.335,1,6.642857143,0.7,4.091549121,1
0.48,0,6.642857143,2.2,3.113035323,0.3
0.71,1,0.2,-0.2,2.847712574,0.2
1.01,1,3.3,3,4.254039014,0.9
0.71,1,0.3,0.2,2.771538997,2.2
0,0,4.6,4.6,4.222105453,1
2.96,1,11.4,6.9,1.609549614,2
0.26,0,0.2,2.1,4.088514249,0.1
0,0,0.5,3.8,2.842382206,0.6
0.17,0,0.2,0.9,0,0
0,0,0.3,0.4,0,0
0,0,0.2,1,0,0
0.41,0,0.3,-0.5,0,0
2.21,1,8.1,5.8,3.719315215,1.5
0.17,0,0.6,0.7,0,0
2.06,1,2.8,7.8,2.879238415,0.5
2.96,1,6.4,7.4,2.848385738,1.5
0.26,0,0.3,0.3,3.065569158,0.5
0.41,0,0.5,0.1,0,0
