Date/Time,Rain,Max Wind,Average WInd,Wind DIr,Predicted Depth
20-10-21 18:31:31,7.1,1.5,0.255189,1.842,1.83346666
20-10-21 18:31:32,7.1,1.5,0.255189,1.842,1.83346666
20-10-21 18:31:33,7.1,1.5,0.255189,1.842,1.83346666
22-10-21 14:31:13,7.1,1.8898,10.65,3,.5147558
22-10-21 14:56:51,0.5,1.29,0.03,0.00999,.0121347
22-10-21 14:57:19,0.5,1.29,0.03,0.016667,.0121570
22-10-21 14:58:45,0.5,1.29,0.05,0.016667,.0122694
22-10-21 15:07:11,0.5,1.291544,0.05,0.016667,.012268
22-10-21 15:09:00,4.6,1.588,1.38,0.46,.2881819
22-10-21 15:12:23,7.1,1.8898,10.65,3,.5147558
22-10-21 15:19:45,7.1,1.8898,10.65,3,.5147558
