,dateutc,tempinf,humidityin,baromrelin,baromabsin,tempf,battout,humidity,winddir,windspeedmph,windgustmph,maxdailygust,hourlyrainin,eventrainin,dailyrainin,weeklyrainin,monthlyrainin,totalrainin,solarradiation,uv,batt_co2,feelsLike,dewPoint,feelsLikein,dewPointin,lastRain,tz,date
0,1632824940000,29.111,65,756.971,754.812,26.5,1,93,181,0.0,0.0,2.593,0.307,31.801,18.11,32.004,107.188,107.188,2.57,0,1,27.633,25.272,32.056,21.833,2021-09-28 18:28:00,Asia/Singapore,2021-09-28 18:29:00
1,1632825000000,29.0,65,756.895,754.736,26.5,1,92,181,0.0,0.0,2.593,0.354,32.004,18.288,32.207,107.391,107.391,2.57,0,1,27.606,25.089,31.833,21.722,2021-09-28 18:29:00,Asia/Singapore,2021-09-28 18:30:00
2,1632825060000,29.0,66,756.895,754.736,26.611,1,93,181,0.0,0.0,2.593,0.425,32.309,18.593,32.512,107.696,107.696,2.57,0,1,27.756,25.383,32.0,22.0,2021-09-28 18:30:00,Asia/Singapore,2021-09-28 18:31:00
3,1632825120000,29.0,66,756.895,754.736,26.611,1,93,181,0.0,0.0,2.593,0.472,32.309,18.593,32.512,107.696,107.696,2.94,0,1,27.756,25.383,32.0,22.0,2021-09-28 18:31:00,Asia/Singapore,2021-09-28 18:32:00
4,1632825180000,29.111,66,756.971,754.812,26.5,1,93,181,0.0,0.0,2.593,0.472,32.512,18.796,32.69,107.899,107.899,3.43,0,1,27.633,25.272,32.222,22.111,2021-09-28 18:32:00,Asia/Singapore,2021-09-28 18:33:00
5,1632825240000,29.111,67,756.971,754.812,26.5,1,94,181,0.0,0.0,2.593,0.472,32.791,19.101,32.995,108.204,108.204,2.94,0,1,27.661,25.45,32.389,22.333,2021-09-28 18:34:00,Asia/Singapore,2021-09-28 18:34:00
6,1632825300000,29.222,67,756.895,754.736,26.389,1,94,181,0.0,0.0,2.593,0.472,33.096,19.406,33.299,108.509,108.509,2.94,0,1,27.539,25.344,32.667,22.444,2021-09-28 18:35:00,Asia/Singapore,2021-09-28 18:35:00
7,1632825360000,29.278,67,756.844,754.659,26.389,1,94,181,0.0,0.0,2.593,0.472,33.096,19.406,33.299,108.509,108.509,3.43,0,1,27.539,25.344,32.778,22.5,2021-09-28 18:36:00,Asia/Singapore,2021-09-28 18:36:00
8,1632825420000,29.389,67,756.844,754.659,26.389,1,94,181,0.0,0.0,2.593,0.402,33.096,19.406,33.299,108.509,108.509,3.79,0,1,27.539,25.344,33.0,22.611,2021-09-28 18:37:00,Asia/Singapore,2021-09-28 18:37:00
9,1632825480000,29.5,67,757.047,754.888,26.278,1,94,181,0.0,0.0,2.593,0.354,33.096,19.406,33.299,108.509,108.509,3.43,0,1,27.417,25.233,33.222,22.722,2021-09-28 18:38:00,Asia/Singapore,2021-09-28 18:38:00
10,1632825540000,29.5,67,756.971,754.812,26.278,1,95,181,0.0,0.0,2.593,0.283,33.096,19.406,33.299,108.509,108.509,3.43,0,1,27.444,25.411,33.222,22.722,2021-09-28 18:39:00,Asia/Singapore,2021-09-28 18:39:00
11,1632825600000,29.611,66,756.971,754.812,26.278,1,95,181,0.0,0.0,2.593,0.236,33.096,19.406,33.299,108.509,108.509,2.57,0,1,27.444,25.411,33.278,22.556,2021-09-28 18:40:00,Asia/Singapore,2021-09-28 18:40:00
12,1632825660000,29.722,66,756.971,754.812,26.278,1,94,181,0.0,0.0,2.593,0.165,33.096,19.406,33.299,108.509,108.509,2.94,0,1,27.417,25.233,33.5,22.667,2021-09-28 18:41:00,Asia/Singapore,2021-09-28 18:41:00
13,1632825720000,29.722,66,756.971,754.812,26.278,1,94,181,0.0,0.0,2.593,0.118,33.096,19.406,33.299,108.509,108.509,2.94,0,1,27.417,25.233,33.5,22.667,2021-09-28 18:42:00,Asia/Singapore,2021-09-28 18:42:00
14,1632825780000,29.722,67,756.895,754.736,26.278,1,93,181,0.0,0.0,2.593,0.118,33.096,19.406,33.299,108.509,108.509,2.57,0,1,27.389,25.05,33.722,22.944,2021-09-28 18:43:00,Asia/Singapore,2021-09-28 18:43:00
15,1632825840000,29.722,67,756.895,754.736,26.389,1,93,181,0.0,0.0,2.593,0.047,33.096,19.406,33.299,108.509,108.509,3.43,0,1,27.511,25.161,33.722,22.944,2021-09-28 18:44:00,Asia/Singapore,2021-09-28 18:44:00
16,1632825900000,29.611,67,756.895,754.736,26.389,1,93,181,0.0,0.0,2.593,0.0,33.096,19.406,33.299,108.509,108.509,2.08,0,1,27.511,25.161,33.444,22.833,2021-09-28 18:45:00,Asia/Singapore,2021-09-28 18:45:00
17,1632826500000,29.389,68,757.047,754.888,26.389,1,93,181,0.0,0.0,2.593,0.0,33.096,19.406,33.299,108.509,108.509,0.85,0,1,27.511,25.161,33.167,22.833,2021-09-28 18:45:00,Asia/Singapore,2021-09-28 18:55:00
18,1632834840000,30.222,66,757.809,755.625,26.222,1,93,181,0.0,0.0,2.593,0.0,33.096,19.406,33.299,108.509,108.509,0.0,0,1,27.328,24.994,34.611,23.167,2021-09-28 18:45:00,Asia/Singapore,2021-09-28 21:14:00
19,1632834900000,30.222,65,757.733,755.548,26.222,1,93,181,0.0,0.0,2.593,0.0,33.096,19.406,33.299,108.509,108.509,0.0,0,1,27.328,24.994,34.389,22.889,2021-09-28 18:45:00,Asia/Singapore,2021-09-28 21:15:00
20,1632834960000,30.222,65,757.961,755.777,26.222,1,93,181,0.0,0.0,2.593,0.0,33.096,19.406,33.299,108.509,108.509,0.0,0,1,27.328,24.994,34.389,22.889,2021-09-28 18:45:00,Asia/Singapore,2021-09-28 21:16:00
21,1632835020000,30.222,65,757.885,755.701,26.222,1,93,181,0.0,0.0,2.593,0.0,33.096,19.406,33.299,108.509,108.509,0.0,0,1,27.328,24.994,34.389,22.889,2021-09-28 18:45:00,Asia/Singapore,2021-09-28 21:17:00
22,1632835080000,30.222,64,757.885,755.701,26.222,1,94,181,0.0,0.0,2.593,0.0,33.096,19.406,33.299,108.509,108.509,0.0,0,1,27.356,25.178,34.111,22.667,2021-09-28 18:45:00,Asia/Singapore,2021-09-28 21:18:00
23,1632835140000,30.111,64,757.961,755.777,26.222,1,94,181,0.0,0.0,2.593,0.0,33.096,19.406,33.299,108.509,108.509,0.0,0,1,27.356,25.178,33.889,22.556,2021-09-28 18:45:00,Asia/Singapore,2021-09-28 21:19:00
24,1632835200000,30.0,64,757.961,755.777,26.222,1,94,181,0.0,0.0,2.593,0.0,33.096,19.406,33.299,108.509,108.509,0.0,0,1,27.356,25.178,33.667,22.444,2021-09-28 18:45:00,Asia/Singapore,2021-09-28 21:20:00
25,1632835320000,29.889,63,757.885,755.701,26.222,1,94,181,0.0,0.0,2.593,0.0,33.096,19.406,33.299,108.509,108.509,0.0,0,1,27.356,25.178,33.222,22.056,2021-09-28 18:45:00,Asia/Singapore,2021-09-28 21:22:00
26,1632835380000,29.889,63,757.885,755.701,26.111,1,95,181,0.0,0.0,2.593,0.0,33.096,19.406,33.299,108.509,108.509,0.0,0,1,27.256,25.244,33.222,22.056,2021-09-28 18:45:00,Asia/Singapore,2021-09-28 21:23:00
27,1632835440000,29.778,63,757.885,755.701,26.111,1,95,181,0.0,0.0,2.593,0.0,33.096,19.406,33.299,108.509,108.509,0.0,0,1,27.256,25.244,33.0,21.944,2021-09-28 18:45:00,Asia/Singapore,2021-09-28 21:24:00
28,1632835500000,29.778,63,757.885,755.701,26.111,1,95,181,0.0,0.0,2.593,0.0,33.096,19.406,33.299,108.509,108.509,0.0,0,1,27.256,25.244,33.0,21.944,2021-09-28 18:45:00,Asia/Singapore,2021-09-28 21:25:00
